Key | EN Value | CS Value
rebuild.intelligence.summary_curated | JHI {{score}}/100, estimated net value {{value}} {{currency}} monthly and direct branded journey entry. | JHI {{score}}/100, estimated net value {{value}} {{currency}} monthly and direct branded journey entry.
rebuild.intelligence.summary_imported | JHI {{score}}/100, realistic outbound preparation considering {{fit}} fit and real costs. | JHI {{score}}/100, realistic outbound preparation considering {{fit}} fit and real costs.
rebuild.jcfpm.abort | Interrupt and start again | Interrupt and start again
rebuild.jcfpm.answer_all | Odpověz na všechny výroky a odemkne se archetyp i doporučení rolí. | Odpověz na všechny výroky a odemkne se archetyp i doporučení rolí.
rebuild.jcfpm.big5.agreeableness | Agreeableness | Agreeableness
rebuild.jcfpm.big5.conscientiousness | Conscientiousness | Conscientiousness
rebuild.jcfpm.big5.extraversion | Extraversion | Extraversion
rebuild.jcfpm.big5.neuroticism | Emotional reactivity | Emotional reactivity
rebuild.jcfpm.big5.openness | Openness | Openness
rebuild.jcfpm.confidence | Estimation confidence | Estimation confidence
rebuild.jcfpm.decisions | Decisions in uncertainty | Decisions in uncertainty
rebuild.jcfpm.dominance | Dominance | Dominance
rebuild.jcfpm.finish | Finish and show results | Finish and show results
rebuild.jcfpm.handshake_rule_desc | A finished JCFPM is simply used. An unfinished JCFPM is part of the handshake and, once completed, is saved to the profile for further challenges. | A finished JCFPM is simply used. An unfinished JCFPM is part of the handshake and, once completed, is saved to the profile for further challenges.
rebuild.jcfpm.handshake_rule_title | Handshake rule | Handshake rule
rebuild.jcfpm.loading_questions | Načítám otázky JCFPM ze Supabase... | Načítám otázky JCFPM ze Supabase...
rebuild.jcfpm.motivation | Motivation | Motivation
rebuild.jcfpm.no_questions | V databázi zatím nejsou dostupné žádné JCFPM otázky. | V databázi zatím nejsou dostupné žádné JCFPM otázky.
rebuild.jcfpm.open_profile | Open JCFPM profile | Open JCFPM profile
rebuild.jcfpm.psych_report_desc | This report compares your internal setting with cognitive prerequisites. | This report compares your internal setting with cognitive prerequisites.
rebuild.jcfpm.psych_report_title | Psychometric report (Big 5) | Psychometric report (Big 5)
rebuild.jcfpm.skill_profile | Cognitive and skill prerequisites | Cognitive and skill prerequisites
rebuild.jcfpm.start_test | Start JCFPM test | Start JCFPM test
rebuild.jcfpm.step_required_desc | JCFPM is not restarted in the handshake if you have already completed it. Since we don\ | JCFPM is not restarted in the handshake if you have already completed it. Since we don\
rebuild.jcfpm.step_required_title | Complete your work profile for assessment results. | Complete your work profile for assessment results.
rebuild.jcfpm.step_title | JCFPM | JCFPM
rebuild.jcfpm.style | Work style | Work style
rebuild.jcfpm.values | Value setting | Value setting
rebuild.jcfpm.welcome_desc | 12 groups of questions await you. The first 6 focus on your psychological profile and work style, the next 6 map your real skills and cognitive prerequisites. The result is saved to your profile and helps us with more accurate recommendations for positions and courses. | 12 groups of questions await you. The first 6 focus on your psychological profile and work style, the next 6 map your real skills and cognitive prerequisites. The result is saved to your profile and helps us with more accurate recommendations for positions and courses.
rebuild.jcfpm.what_will_be_used | What will be used in results | What will be used in results
rebuild.jhi.financial | Finance | Finance
rebuild.journey.assessment_center | Assessment Center | Assessment Center
rebuild.journey.min_tolerance | min tolerance | min tolerance
rebuild.journey.recently_submitted | Recently submitted | Recently submitted
rebuild.landing.enter_as_candidate | Enter as a candidate | Enter as a candidate
rebuild.landing.enter_as_company | Enter as a company | Enter as a company
rebuild.landing.verified_hiring | Verified hiring without ghosting | Verified hiring without ghosting
rebuild.learning.fit.ai_workflow | AI workflow | AI workflow
rebuild.learning.fit.qa | QA | QA
rebuild.learning.fit.reporting | business reporting | business reporting
rebuild.learning.tracks.python.title | Python | Python
rebuild.level.lead | Lead | Lead
rebuild.level.principal | Principal | Principal
rebuild.level.senior | Senior | Senior
rebuild.locale | en-GB | en-GB
rebuild.marketplace.benefit_dog_friendly | Dog-friendly office | Dog-friendly office
rebuild.marketplace.benefit_home_office | Home office | Home office
rebuild.marketplace.benefit_multisport | Multisport | Multisport
rebuild.marketplace.current_radius | Radius | Radius
rebuild.marketplace.match | Match | Match
rebuild.marketplace.no_more_roles | Tohle je pro teď všechno. | Tohle je pro teď všechno.
rebuild.marketplace.no_more_roles_copy | Zkus upravit filtry nebo se vrať později pro další nabídky. | Zkus upravit filtry nebo se vrať později pro další nabídky.
rebuild.marketplace.role | Role | Role
rebuild.marketplace.role_family_design | Design | Design
rebuild.marketplace.role_family_engineering | Engineering | Engineering
rebuild.marketplace.role_family_frontline | Frontline | Frontline
rebuild.marketplace.sandbox_title | Marketplace Sandbox | Marketplace Sandbox
rebuild.marketplace.swipe_mode | Swipe mode | Swipe mode
rebuild.marketplace.work_arrangement_hybrid | Hybrid | Hybrid
rebuild.nav.self_knowledge | Self-knowledge | Self-knowledge
rebuild.profile.ai_signal_marker | AI Signal Marker | AI Signal Marker
rebuild.profile.cv_format_unsupported | Only PDF or Word documents are supported. | Only PDF or Word documents are supported.
rebuild.profile.cv_too_large | Document exceeds 10 MB limit. | Document exceeds 10 MB limit.
rebuild.profile.feed_mode_label | Feed mode | Feed mode
rebuild.profile.modes.consulting | Micro-projects · challenge contracts · sandbox consulting | Micro-projects · challenge contracts · sandbox consulting
rebuild.profile.modes.design | System design · innovation tracks · architecture challenges | System design · innovation tracks · architecture challenges
rebuild.profile.no_education | Education not added yet. | Education not added yet.
rebuild.profile.only_images_supported | Only images are supported. | Only images are supported.
rebuild.profile.photo_too_large | Photo exceeds 5 MB limit. | Photo exceeds 5 MB limit.
rebuild.profile.profile_status | Profile status | Profile status
rebuild.profile.signals.default_title | Core Signal Event | Core Signal Event
rebuild.profile.signals.earthship_title | Core Signal Event: Earthship moment | Core Signal Event: Earthship moment
rebuild.recruiter.accent_color | Accent | Accent
rebuild.recruiter.active_count | ▲ {{count}} active | ▲ {{count}} active
rebuild.recruiter.add_gallery | Add photo | Add photo
rebuild.recruiter.add_material | Add material | Add material
rebuild.recruiter.ai_draft_error | Failed to create AI proposal. | Failed to create AI proposal.
rebuild.recruiter.ai_draft_ready | Mistral has prepared a draft of the challenge and assessment. Review it and confirm by saving. | Mistral has prepared a draft of the challenge and assessment. Review it and confirm by saving.
rebuild.recruiter.ai_tasks_ready | AI task proposal is ready. Please confirm it before publication. | AI task proposal is ready. Please confirm it before publication.
rebuild.recruiter.apply_filters | Apply filters | Apply filters
rebuild.recruiter.avg_rating | ▲ {{rating}} avg rating | ▲ {{rating}} avg rating
rebuild.recruiter.axis_agility | Agility | Agility
rebuild.recruiter.axis_creativity | Creativity | Creativity
rebuild.recruiter.axis_leadership | Leadership | Leadership
rebuild.recruiter.axis_logic | Logic | Logic
rebuild.recruiter.axis_soft_skills | Soft Skills | Soft Skills
rebuild.recruiter.axis_technical_depth | Technical Depth | Technical Depth
rebuild.recruiter.back_to_company_entry | Back to company entry | Back to company entry
rebuild.recruiter.brand_editor | Brand editor | Brand editor
rebuild.recruiter.candidate_metadata | Candidate metadata | Candidate metadata
rebuild.recruiter.candidate_n | Candidate {{n}} | Candidate {{n}}
rebuild.recruiter.candidates_in_play | Candidates in play | Candidates in play
rebuild.recruiter.challenge_published | Challenge is published in the marketplace and ready for handshake. | Challenge is published in the marketplace and ready for handshake.
rebuild.recruiter.challenge_save_error | Failed to save the challenge. | Failed to save the challenge.
rebuild.recruiter.challenge_saved | Challenge is saved and ready for candidate handshake. | Challenge is saved and ready for candidate handshake.
rebuild.recruiter.changes_marketplace_cards | Marketplace cards use the updated company name and logo immediately. | Marketplace cards use the updated company name and logo immediately.
rebuild.recruiter.changes_role_briefing | Role briefing and journey screens pull the latest cover, narrative and reviewer identity. | Role briefing and journey screens pull the latest cover, narrative and reviewer identity.
rebuild.recruiter.check_clear_impact | Clear impact | Clear impact
rebuild.recruiter.check_context_hint | Add background and expectations. | Add background and expectations.
rebuild.recruiter.check_context_ok | Candidate will understand the broader situation. | Candidate will understand the broader situation.
rebuild.recruiter.check_goal_hint | Name the outcome, not just the position. | Name the outcome, not just the position.
rebuild.recruiter.check_goal_ok | Challenge is specific and understandable. | Challenge is specific and understandable.
rebuild.recruiter.check_impact_hint | Explain why the challenge matters. | Explain why the challenge matters.
rebuild.recruiter.check_impact_ok | Impact on team or business is described. | Impact on team or business is described.
rebuild.recruiter.check_motivating_context | Motivating context | Motivating context
rebuild.recruiter.check_realistic_scope | Realistic scope | Realistic scope
rebuild.recruiter.check_scope_hint | Describe specific deliverables. | Describe specific deliverables.
rebuild.recruiter.check_scope_ok | Assessment task is feasible. | Assessment task is feasible.
rebuild.recruiter.check_well_defined_goal | Well-defined goal | Well-defined goal
rebuild.recruiter.comp_analysts | Analysts | Analysts
rebuild.recruiter.comp_architects | Architects | Architects
rebuild.recruiter.comp_innovators | Innovators | Innovators
rebuild.recruiter.comp_realizers | Realizers | Realizers
rebuild.recruiter.comp_visionaries | Visionaries | Visionaries
rebuild.recruiter.company_load_failed | Company account failed to load. | Company account failed to load.
rebuild.recruiter.company_load_failed_desc | Check your server connection and try loading again. If you filled in the company before, there should be no need to create it again. | Check your server connection and try loading again. If you filled in the company before, there should be no need to create it again.
rebuild.recruiter.company_name | Company name | Company name
rebuild.recruiter.company_profile | Company Profile | Company Profile
rebuild.recruiter.competencies | Core competencies | Core competencies
rebuild.recruiter.competency_matrix | Aggregated competency matrix | Aggregated competency matrix
rebuild.recruiter.competency_matrix_copy | Performance across the current selection pool. | Performance across the current selection pool.
rebuild.recruiter.completed_count | ▲ {{count}} completed | ▲ {{count}} completed
rebuild.recruiter.cover_image_url | Cover image URL | Cover image URL
rebuild.recruiter.created_at | Created at | Created at
rebuild.recruiter.dashboard | Dashboard | Dashboard
rebuild.recruiter.dashboard_tip | You have the highest resonance in the communication style area. Consider strengthening strategic thinking in the product team. | You have the highest resonance in the communication style area. Consider strengthening strategic thinking in the product team.
rebuild.recruiter.elite_tier | Elite talent tier | Elite talent tier
rebuild.recruiter.exp_level | Experience level | Experience level
rebuild.recruiter.first_step_label | First step | First step
rebuild.recruiter.gallery | Company gallery | Company gallery
rebuild.recruiter.gallery_empty | Add office, production or team photos that candidates should see before the handshake. | Add office, production or team photos that candidates should see before the handshake.
rebuild.recruiter.handshake_in_progress | Handshake in progress | Handshake in progress
rebuild.recruiter.handshake_materials | Handshake materials | Handshake materials
rebuild.recruiter.high_signal | High signal | High signal
rebuild.recruiter.hire_flow | Hire Flow | Hire Flow
rebuild.recruiter.hire_success_rate | Hire success rate | Hire success rate
rebuild.recruiter.in_progress_count | ▲ {{count}} in progress | ▲ {{count}} in progress
rebuild.recruiter.incomplete_challenge_error | Please fill in the title, challenge context, and first step for the candidate. | Please fill in the title, challenge context, and first step for the candidate.
rebuild.recruiter.industry | Industry | Industry
rebuild.recruiter.just_a_moment | Just a moment | Just a moment
rebuild.recruiter.kicker_pipeline | Pipeline | Pipeline
rebuild.recruiter.live_preview | Live recruiter preview | Live recruiter preview
rebuild.recruiter.loading_company_account | Loading company account. | Loading company account.
rebuild.recruiter.location_label | Location | Location
rebuild.recruiter.logo_url | Logo URL | Logo URL
rebuild.recruiter.materials_empty | Upload decks, process docs, videos or briefs that should be visible before or during the handshake. | Upload decks, process docs, videos or briefs that should be visible before or during the handshake.
rebuild.recruiter.narrative | Narrative | Narrative
rebuild.recruiter.new_this_week | ▲ {{n}} new this week | ▲ {{n}} new this week
rebuild.recruiter.overall | Overall | Overall
rebuild.recruiter.preparing_workspace | Preparing your company workspace. | Preparing your company workspace.
rebuild.recruiter.primary_color | Primary | Primary
rebuild.recruiter.profile_source | Profile source | Profile source
rebuild.recruiter.publish_error | Failed to publish the challenge. | Failed to publish the challenge.
rebuild.recruiter.published_surface | Published Surface | Published Surface
rebuild.recruiter.rank | Rank | Rank
rebuild.recruiter.remove_material | Remove | Remove
rebuild.recruiter.remove_media | Remove | Remove
rebuild.recruiter.res_cognitive | Cognitive style | Cognitive style
rebuild.recruiter.res_comm | Communication style | Communication style
rebuild.recruiter.res_culture | Culture and values | Culture and values
rebuild.recruiter.res_motivation | Motivation | Motivation
rebuild.recruiter.res_pace | Work pace | Work pace
rebuild.recruiter.reviewer_avatar | Reviewer photo | Reviewer photo
rebuild.recruiter.reviewer_intro | Reviewer intro | Reviewer intro
rebuild.recruiter.reviewer_name | Reviewer name | Reviewer name
rebuild.recruiter.reviewer_role | Reviewer role | Reviewer role
rebuild.recruiter.role_label | Role | Role
rebuild.recruiter.save_brand | Save brand to company profile | Save brand to company profile
rebuild.recruiter.select_candidate_desc | Here you will see a detailed analysis of skills, histories, and common communication with the selected talent. | Here you will see a detailed analysis of skills, histories, and common communication with the selected talent.
rebuild.recruiter.select_candidate_detail | Select a candidate for a detailed cognitive map | Select a candidate for a detailed cognitive map
rebuild.recruiter.status_assigned | Assigned | Assigned
rebuild.recruiter.status_drafts | Drafts | Drafts
rebuild.recruiter.status_handshake | Handshake | Handshake
rebuild.recruiter.status_hired | Hired | Hired
rebuild.recruiter.status_sandbox | In sandbox | In sandbox
rebuild.recruiter.submitted_count | ▲ {{count}} submitted | ▲ {{count}} submitted
rebuild.recruiter.tagline | Tagline | Tagline
rebuild.recruiter.talent_insights | Talent Insights | Talent Insights
rebuild.recruiter.talent_intelligence | Talent Intelligence | Talent Intelligence
rebuild.recruiter.technical_match | technical match | technical match
rebuild.recruiter.this_week | ▲ {{n}} this week | ▲ {{n}} this week
rebuild.recruiter.unknown | Unknown | Unknown
rebuild.recruiter.upload_cover | Upload cover image | Upload cover image
rebuild.recruiter.upload_logo | Upload logo | Upload logo
rebuild.recruiter.uploading_media | Uploading media... | Uploading media...
rebuild.recruiter.vs_last_quarter | ▲ {{n}} % vs. last quarter | ▲ {{n}} % vs. last quarter
rebuild.recruiter.website | Website | Website
rebuild.recruiter.work_remote | Remote | Remote
rebuild.recruiter.your_account | Your account | Your account
rebuild.save | Save | Save
rebuild.tax.children | Children count | Children count
rebuild.tax.country | Country | Country
rebuild.tax.employee | Employee | Employee
